URL;UR;Scheme;HTTP Status Code;HTTP Error Message;Content Type;Crawl Status;Crawl Depth;Crawl Source;URL Source;First Parent URL;No. Internal Linking URLs;Indexable;Indexable Status
https://www.sfu.edu.hk/en/programmes/sub-degree-programmes/higher-diploma-in-enrolled-nursing-general-hden-swd/introduction/index.html;5;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/sub-degree-programmes/higher-diploma-in-health-care-full-time-part-time/introduction-/index.html;5;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/sub-degree-programmes/higher-diploma-in-hospitality-management/introduction/index.html;13;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/index.html;2;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/sub-degree-programmes/higher-diploma-in-human-services/introduction/index.html;5;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/sub-degree-programmes/higher-diploma-in-pharmaceutical-dispensing-full-time-part-time/introduction/index.html;13;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/index.html;2;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/sub-degree-programmes/higher-diploma-in-social-work-full-time-part-time/introduction/index.html;28;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;4;Yes;Indexable
https://www.sfu.edu.hk/en/programmes/top-up-degree-programmes-senior-year-entry-/bachelor-of-entrepreneurial-management-honours-in-design-business-part-time-/introduction/index.html;35;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;5;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/administrative-and-supporting-units/career-centre/about-us/index.html;5;https;200;None;HTML;Success;1;Crawler;Anchor;https://www.sfu.edu.hk/en/home/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/administrative-and-supporting-units/career-centre/career-advisory/index.html;5;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/schools-and-offices/administrative-and-supporting-units/career-centre/about-us/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/administrative-and-supporting-units/career-centre/career-fair/index.html;5;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/schools-and-offices/administrative-and-supporting-units/career-centre/about-us/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/administrative-and-supporting-units/career-centre/career-fair/seminar-cf/index.html;5;https;200;None;HTML;Success;3;Crawler;Anchor;https://www.sfu.edu.hk/en/schools-and-offices/administrative-and-supporting-units/career-centre/career-fair/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/administrative-and-supporting-units/career-centre/career-fair/talk-cf/index.html;5;https;200;None;HTML;Success;3;Crawler;Anchor;https://www.sfu.edu.hk/en/schools-and-offices/administrative-and-supporting-units/career-centre/career-fair/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/administrative-and-supporting-units/career-centre/career-training/index.html;5;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/schools-and-offices/administrative-and-supporting-units/career-centre/about-us/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/administrative-and-supporting-units/career-centre/job-search/index.html;5;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/schools-and-offices/administrative-and-supporting-units/career-centre/about-us/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/administrative-and-supporting-units/chaplaincy/chapel/index.html;5;https;200;None;HTML;Success;3;Crawler;Anchor;https://www.sfu.edu.hk/en/about-the-institute/overview-of-the-institute/campus-environment-and-facilities/campus-virtual-tour/ss-francis-chapel/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/administrative-and-supporting-units/innovative-incubation-centre/make-it-happen-competition/index.html;0;https;200;None;HTML;Success;6;Crawler;Anchor;https://www.cihe.edu.hk/en/schools-and-offices/administrative-and-supporting-units/innovative-incubation-centre/make-it-happen-competition/index.html;0;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/administrative-and-supporting-units/public-affairs-office/media-coverage/index_id_390.html;13;https;404;None;HTML;Not Found;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-science-honours-in-physiotherapy/introduction/index.html;2;No;Not Found
https://www.sfu.edu.hk/en/schools-and-offices/administrative-and-supporting-units/public-affairs-office/media-coverage/index_id_395.html;5;https;404;None;HTML;Not Found;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-science-honours-in-artificial-intelligence/introduction/index.html;1;No;Not Found
https://www.sfu.edu.hk/en/schools-and-offices/schools-and-departments/department-of-general-education-and-language-studies/introduction/index.html;5;https;200;None;HTML;Success;4;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/programme-offered-by-caritas-bianchi-college-of-careers/higher-diploma-in-translation-technology-and-modern-languages/introduction/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/schools-and-departments/felizberta-lo-padilla-tong-school-of-social-sciences/introduction/index.html;20;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-social-sciences-honours/introduction/index.html;3;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/schools-and-departments/rita-tong-liu-school-of-business-and-hospitality-management/introduction/index.html;50;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/master-s-degree-programmes/master-of-corporate-governance-part-time-/introduction/index.html;7;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/schools-and-departments/school-of-computing-and-information-sciences/introduction/index.html;35;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-science-honours-in-digital-entertainment-technology/introduction/index.html;5;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/schools-and-departments/school-of-computing-and-information-sciences/staff-directory/dr-li-chengze/index.html;5;https;200;None;HTML;Success;4;Crawler;Anchor;https://www.sfu.edu.hk/en/schools-and-offices/schools-and-departments/school-of-computing-and-information-sciences/staff-directory/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/schools-and-departments/school-of-computing-and-information-sciences/staff-directory/dr-tina-liu-xueting/index.html;5;https;200;None;HTML;Success;4;Crawler;Anchor;https://www.sfu.edu.hk/en/schools-and-offices/schools-and-departments/school-of-computing-and-information-sciences/staff-directory/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/schools-and-departments/school-of-computing-and-information-sciences/staff-directory/dr-yingchao-zhao/index.html;5;https;200;None;HTML;Success;4;Crawler;Anchor;https://www.sfu.edu.hk/en/schools-and-offices/schools-and-departments/school-of-computing-and-information-sciences/staff-directory/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/schools-and-departments/school-of-computing-and-information-sciences/staff-directory/index.html;43;https;200;None;HTML;Success;3;Crawler;Anchor;https://www.sfu.edu.hk/en/schools-and-offices/schools-and-departments/school-of-computing-and-information-sciences/introduction/index.html;6;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/schools-and-departments/school-of-computing-and-information-sciences/staff-directory/Mr-kinson-cheung-kin-chung/index.html;5;https;200;None;HTML;Success;4;Crawler;Anchor;https://www.sfu.edu.hk/en/schools-and-offices/schools-and-departments/school-of-computing-and-information-sciences/staff-directory/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/schools-and-departments/school-of-computing-and-information-sciences/staff-directory/prof-andrew-leung/index.html;5;https;200;None;HTML;Success;4;Crawler;Anchor;https://www.sfu.edu.hk/en/schools-and-offices/schools-and-departments/school-of-computing-and-information-sciences/staff-directory/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/schools-and-departments/school-of-health-sciences/introduction/index.html;65;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-health-sciences-honours-part-time-top-up-programme/introduction/index.html;9;Yes;Indexable
https://www.sfu.edu.hk/en/schools-and-offices/schools-and-departments/school-of-humanities-and-languages/introduction/index.html;35;https;200;None;HTML;Success;2;Crawler;Anchor;https://www.sfu.edu.hk/en/programmes/bachelor-s-degree-programmes/bachelor-of-arts-honours-in-language-and-culture/introduction/index.html;5;Yes;Indexable
https://www.sfu.edu.hk/en/student-support/scholarships-and-financial-assistance/admission-scholarships/academic-achievement-scholarships-aas-/index.html;5;https;200;None;HTML;Success;3;Crawler;Anchor;https://www.sfu.edu.hk/en/student-support/scholarships-and-financial-assistance/admission-scholarships/index.html;1;Yes;Indexable
https://www.sfu.edu.hk/en/student-support/scholarships-and-financial-assistance/admission-scholarships/entrance-scholarships-es-/index.html;5;https;200;None;HTML;Success;3;Crawler;Anchor;https://www.sfu.edu.hk/en/student-support/scholarships-and-financial-assistance/admission-scholarships/index.html;1;Yes;Indexable
